city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Harrow,Harrow,51.5833,-0.3167,United Kingdom,GB,GBR,Harrow,admin,,1826648099
Hartlepool,Hartlepool,54.6861,-1.2125,United Kingdom,GB,GBR,Hartlepool,admin,,1826069842
Hendon,Hendon,51.6000,-0.2167,United Kingdom,GB,GBR,Barnet,admin,,1826052476
Hereford,Hereford,52.0500,-2.7167,United Kingdom,GB,GBR,Herefordshire,admin,,1826996583
Hertford,Hertford,51.8000,-0.0667,United Kingdom,GB,GBR,Hertfordshire,admin,,1826912872
Hounslow,Hounslow,51.4667,-0.3500,United Kingdom,GB,GBR,Hounslow,admin,,1826943293
Hove,Hove,50.8333,-0.1833,United Kingdom,GB,GBR,Brighton and Hove,admin,,1826419818
Huddersfield,Huddersfield,53.6500,-1.7833,United Kingdom,GB,GBR,Kirklees,admin,,1826672445
Hugh Town,Hugh Town,49.9146,-6.3143,United Kingdom,GB,GBR,Isles of Scilly,admin,,1826252332
Hwlffordd,Hwlffordd,51.8017,-4.9708,United Kingdom,GB,GBR,Pembrokeshire,admin,,1826514766
Ilford,Ilford,51.5597,0.0708,United Kingdom,GB,GBR,Redbridge,admin,,1826381000
Inverness,Inverness,57.4671,-4.2333,United Kingdom,GB,GBR,Highland,admin,45158,1826161019
